"Date","Type","Details","Amount (BDT)","Tag","Payment Method"
"2025-08-14","expense","Dholaipar rikhsa","40.00","transport","n/a"
"2025-08-14","expense","T n C","50.00","c n t","n/a"
"2025-08-13","expense","Riksha","60.00","transport","n/a"
"2025-08-13","expense","Lunch","650.00","resturent","n/a"
"2025-08-13","expense","T n C","300.00","c n t","n/a"
"2025-08-13","expense","rikshs","100.00","transport","n/a"
"2025-08-13","expense","water board","30.00","transport","n/a"
"2025-08-13","expense","Sabbir","100.00","giveway","n/a"
"2025-08-13","expense","Jawad","2000.00","jawad","n/a"
"2025-08-12","expense","T N C","80.00","c n t","n/a"
"2025-08-12","expense","Transport","80.00","transport","n/a"
"2025-08-12","expense","RESTURENT","1000.00","resturent","n/a"
"2025-08-12","expense","Food lunch","400.00","resturent","n/a"
"2025-08-11","expense","Watch Screen","250.00","gadget","n/a"
"2025-08-11","expense","Keyboard Mouse","6000.00","gadget","n/a"
"2025-08-11","expense","Laptop screen protector","1000.00","gadget","n/a"
"2025-08-11","expense","Bike rent Jomuna","250.00","transport","n/a"
"2025-08-11","expense","Food Night office","300.00","resturent","n/a"
"2025-08-11","expense","Riksha","30.00","transport","n/a"
"2025-08-11","expense","Bike Jomuna to aftab","200.00","transport","n/a"
"2025-08-11","expense","Food lunch","550.00","resturent","n/a"
"2025-08-11","expense","T n C","400.00","c n t","n/a"
"2025-08-11","expense","Rikhsa to office","40.00","transport","n/a"
"2025-08-10","expense","Rikhsa tohome","40.00","transport","n/a"
"2025-08-10","expense","Rikhsa to office","50.00","transport","n/a"
"2025-08-10","expense","T n C","210.00","c n t","n/a"
"2025-08-10","expense","Peronsal buy","200.00","pocket money","n/a"
"2025-08-10","expense","T n C","400.00","c n t","n/a"
"2025-08-10","expense","Rikhsa to office","50.00","transport","n/a"
"2025-08-09","expense","Tanzima","1000.00","tanzu pocket money","n/a"
"2025-08-09","expense","Jawad","3060.00","jawad","n/a"
"2025-08-09","expense","Transport - Dhaka","1050.00","transport","n/a"
"2025-08-09","expense","Snacks tah'","50.00","family and gift","n/a"
"2025-08-09","expense","C n T","650.00","c n t","n/a"
"2025-08-08","expense","C n T","50.00","c n t","n/a"
"2025-08-08","expense","Home","350.00","family and gift","n/a"
"2025-08-07","expense","Gher","500.00","gher","n/a"
"2025-08-07","expense","Loan Anu da","1020.00","loan","n/a"
"2025-08-07","expense","C n T","200.00","c n t","n/a"
"2025-08-06","expense","SSR JM","15000.00","others essential","n/a"
"2025-08-06","expense","Laptop Charger Abbu","1300.00","family and gift","n/a"
"2025-08-06","expense","C n T","100.00","pocket money","n/a"
"2025-08-05","expense","C n T","180.00","pocket money","n/a"
"2025-08-05","expense","Home snacks food","300.00","home snacks","n/a"
"2025-08-05","expense","Sajib Vai loan","5000.00","loan","n/a"
"2025-08-05","expense","Medicine","90.00","medicine n dr","n/a"
"2025-08-05","expense","C n T","420.00","pocket money","n/a"
"2025-08-04","expense","Home snacks food","300.00","home snacks","n/a"
